Entity,Code,Share of plastic inadequately managed,,,,,,,,,,,,,
Saint Vincent and the Grenadines,VCT,21,,,,,,,,,FALSE,,,,
Samoa,WSM,80,,,,,,,,,FALSE,,,,
Sao Tome and Principe,STP,81,,,,,,,,,FALSE,,,,
Saudi Arabia,SAU,8,,,,,,,,,FALSE,,,,
Senegal,SEN,82,,,,,,,,,FALSE,,,,
Seychelles,SYC,37,,,,,,,,,FALSE,,,,
Sierra Leone,SLE,84,,,,,,,,,FALSE,,,,
Singapore,SGP,0,,,,,,,,,FALSE,,,,
Sint Maarten (Dutch part),SXM,0,,,,,,,,,FALSE,,,,
Slovenia,SVN,1,,,,,,,,,FALSE,,,,
Solomon Islands,SLB,86,,,,,,,,,FALSE,,,,
Somalia,SOM,85,,,,,,,,,FALSE,,,,
South Africa,ZAF,54,,,,,,,,,FALSE,,,,
South Korea,KOR,0,,,,,,,,,FALSE,,,,
Spain,ESP,0,,,,,,,,,FALSE,,,,
Sri Lanka,LKA,82,,,,,,,,,FALSE,,,,
Sudan,SDN,80,,,,,,,,,FALSE,,,,
Suriname,SUR,15,,,,,,,,,FALSE,,,,
Sweden,SWE,0,,,,,,,,,FALSE,,,,
Syria,SYR,65,,,,,,,,,FALSE,,,,
Taiwan,TWN,0,,,,,,,,,FALSE,,,,
Tanzania,TZA,84,,,,,,,,,FALSE,,,,
Thailand,THA,73,,,,,,,,,FALSE,,,,
Togo,TGO,84,,,,,,,,,FALSE,,,,
Tokelau,TKL,82,,,,,,,,,FALSE,,,,
Tonga,TON,78,,,,,,,,,FALSE,,,,
Trinidad and Tobago,TTO,3,,,,,,,,,FALSE,,,,
Tunisia,TUN,60,,,,,,,,,FALSE,,,,
Turkey,TUR,16,,,,,,,,,FALSE,,,,
Turks and Caicos Islands,TCA,0,,,,,,,,,FALSE,,,,
Tuvalu,TUV,73,,,,,,,,,FALSE,,,,
Ukraine,UKR,49,,,,,,,,,FALSE,,,,
United Arab Emirates,ARE,0,,,,,,,,,FALSE,,,,
United Kingdom,GBR,0,,,,,,,,,FALSE,,,,
United States,USA,0,,,,,,,,,FALSE,,,,
Uruguay,URY,8,,,,,,,,,FALSE,,,,
Vanuatu,VUT,81,,,,,,,,,FALSE,,,,
Venezuela,VEN,5,,,,,,,,,FALSE,,,,
Vietnam,VNM,86,,,,,,,,,FALSE,,,,
Yemen,YEM,73,,,,,,,,,FALSE,,,,
